Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope
Ticker,399001.SZ,399001.SZ,399001.SZ,399001.SZ,399001.SZ,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
1999-09-01,3967.795654296875,4318.341777513556,3951.8456376015783,4158.203434113493,0,4028.05703125,3443.0744873046874,3563.7596069335937,,,,,234.8733886718751,76.65314941406223,-9.871862792968841,,,,
1999-10-01,3741.96826171875,3967.225758352282,3598.699840591426,3963.035863691463,0,4122.38798828125,3522.342626953125,3546.7758178710938,,,,,94.33095703124991,79.26813964843768,-16.98378906249991,,,,
1999-11-01,3533.9404296875,3811.2774137073593,3525.7205509787455,3742.578231395737,0,3888.6326171875,3583.7009521484374,3520.3106079101562,,,,,-233.75537109375,61.35832519531232,-26.4652099609375,,,,
1999-12-01,3369.572509765625,3632.479488361571,3284.7533878171616,3530.310706484814,0,3753.4861328125,3645.1312744140623,3479.7440673828123,,,,,-135.146484375,61.43032226562491,-40.56654052734393,,,,
2000-01-01,3952.365478515625,3952.365478515625,3360.172184945728,3374.072175162541,0,3713.128466796875,3753.1560546875,3468.111193847656,3711.012443033854,,,,-40.357666015625,108.0247802734375,-11.63287353515625,,,,
2000-02-01,4484.10986328125,4685.437683349674,4039.824807239934,4102.603888277316,0,3816.39130859375,3922.224169921875,3505.461779785156,3713.8600830078126,,,,103.26284179687536,169.068115234375,37.3505859375,2.847639973958394,,,
2000-03-01,4532.25927734375,4635.6082170370455,4100.733838890268,4468.920143270801,0,3974.44951171875,4048.41875,3544.8763427734375,3734.3715250651044,,,,158.05820312499964,126.194580078125,39.41456298828143,20.511442057291788,,,
2000-04-01,4683.1171875,4685.327123552453,4381.80075626354,4523.859215203951,0,4204.28486328125,4046.458740234375,3616.2590209960936,3739.6997802734377,,,,229.83535156250036,-1.960009765624818,71.38267822265607,5.328255208333303,,,
2000-05-01,4643.1083984375,4736.667414107076,4275.812199805162,4708.47729866137,0,4458.992041015625,4106.239086914063,3684.2477783203126,3752.1886474609373,,,,254.70717773437445,59.78034667968768,67.98875732421902,12.488867187499636,,,
2000-06-01,4830.61572265625,4874.995107534713,4664.947659566984,4664.957425082415,0,4634.64208984375,4173.885278320313,3770.1533081054686,3773.716072591146,,,,175.65004882812536,67.64619140625018,85.90552978515598,21.527425130208485,,,
2000-07-01,4894.0751953125,4905.454950965044,4697.907465459955,4806.416506861705,0,4716.63515625,4266.513232421875,3854.7938598632813,3798.0108154296877,,,,81.99306640625036,92.62795410156195,84.64055175781277,24.29474283854188,,,
2000-08-01,4826.24560546875,5062.2331896796795,4706.996944643086,4900.485006127888,0,4775.432421875,4374.940966796875,3948.641796875,3822.8308675130206,,,,58.797265624999454,108.427734375,93.84793701171884,24.82005208333294,,,
2000-09-01,4523.60986328125,4842.306027085588,4423.960580545395,4800.536471943397,0,4743.53095703125,4473.90791015625,4028.8044311523436,3838.176375325521,,,,-31.901464843749636,98.96694335937536,80.16263427734339,15.345507812500273,,,
2000-10-01,4573.1689453125,4654.657777839685,4448.15032735771,4534.799258285331,0,4729.54306640625,4594.267553710937,4119.6994140625,3851.2518961588544,,,,-13.987890625000546,120.35964355468695,90.89498291015661,13.075520833333485,,,
2000-11-01,4831.3056640625,5010.983824153463,4572.548801259384,4573.178677005725,0,4729.6810546875,4682.161572265625,4217.6588134765625,3872.7946533203126,,,,0.1379882812507276,87.89401855468805,97.95939941406232,21.542757161458212,,,
2000-12-01,4752.69677734375,4869.865387116393,4652.177883464479,4836.585974636713,0,4701.40537109375,4709.020263671875,4315.622216796875,3906.647941080729,,,,-28.275683593750728,26.858691406249818,97.96340332031286,33.853287760416606,,,
2001-01-01,4743.31689453125,4849.19558932585,4610.228055830863,4756.126809390624,0,4684.81962890625,4730.126025390625,4389.272387695312,3939.9595703125,,,,-16.585742187499818,21.105761718749818,73.65017089843695,33.311629231770894,,,
2001-02-01,4453.09033203125,4764.596613677293,4318.471720458364,4754.187062132065,0,4670.71572265625,4707.12333984375,4376.791040039063,3979.8804606119793,,,,-14.103906249999454,-23.002685546875,-12.481347656249454,39.9208902994792,,,
2001-03-01,4965.9345703125,5037.453299896071,4455.099964319125,4455.099964319125,0,4749.26884765625,4739.40595703125,4422.822521972656,4035.9671712239583,,,,78.55312499999945,32.282617187500364,46.03148193359357,56.086710611979015,,,
2001-04-01,4802.53564453125,5091.402501699639,4764.966244303552,4976.923813184961,0,4743.51484375,4736.59794921875,4455.241613769531,4092.301521809896,,,,-5.754003906249636,-2.808007812500364,32.419091796874454,56.3343505859375,,,
2001-05-01,4857.416015625,4929.204765384855,4784.846512858065,4810.856476544224,0,4764.45869140625,4732.93203125,4499.722631835937,4147.506583658854,,,,20.94384765625,-3.6659179687494543,44.48101806640625,55.20506184895794,,,
2001-06-01,4716.84716796875,4874.745305010536,4632.158173385884,4862.135582706044,0,4759.16474609375,4721.9921875,4548.466577148438,4206.425260416667,,,,-5.2939453125,-10.939843750000364,48.74394531250073,58.918676757813046,,,
2001-07-01,4058.964599609375,4733.277124016015,4043.754808833245,4720.327073583767,0,4680.339599609375,4675.527661132813,4574.717785644531,4244.378841145834,,,,-78.82514648437518,-46.46452636718732,26.251208496093568,37.95358072916679,,,
2001-08-01,3860.1767578125,4177.913191134691,3782.4976957529907,4069.054546475541,0,4459.188037109375,4604.228442382812,4599.247998046875,4281.209090169271,,,,-221.15156250000018,-71.29921875000036,24.53021240234375,36.83024902343732,,,
2001-09-01,3498.5908203125,3993.1753860627573,3468.9312393585647,3861.9268514801624,0,4198.399072265625,4470.956958007812,4576.559265136719,4302.091528320312,,,,-260.78896484374945,-133.271484375,-22.688732910156432,20.882438151041242,,,
