Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope,5_Month_MA_Percent_Change,10_Month_MA_Percent_Change,20_Month_MA_Percent_Change,30_Month_MA_Percent_Change,60_Month_MA_Percent_Change,120_Month_MA_Percent_Change,233_Month_MA_Percent_Change
Ticker,600900.SS,600900.SS,600900.SS,600900.SS,600900.SS,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-01,2.1568591594696045,2.169509349204758,1.9323180654673893,1.970268860876086,1899297336,,,,,,,,,,,,,,,,,,,,,
2003-12-01,2.7450945377349854,2.868434163422606,2.153697703747993,2.1568600262493924,2055471140,,,,,,,,,,,,,,,,,,,,,
2004-01-01,2.7640693187713623,3.0202359426815346,2.713468775057237,2.8621085366896284,1021540278,,,,,,,,,,,,,,,,,,,,,
2004-02-01,2.8431334495544434,3.1467385429916797,2.7229566124798166,3.0392114468867284,1248942654,,,,,,,,,,,,,,,,,,,,,
2004-03-01,2.8462958335876465,2.979123072017842,2.681843116055802,2.8399705115640472,732714509,2.6710904598236085,,,,,,,,,,,,,,,,,,,,
2004-04-01,2.8431334495544434,3.0613495114985128,2.792532449846037,2.858946191274789,863787517,2.808345317840576,,,,,,,0.13725485801696768,,,,,,,5.138532748382896,,,,,,
2004-05-01,2.8304827213287354,2.9063838672440756,2.643892178083599,2.7988574700672677,832786828,2.8254229545593263,,,,,,,0.017077636718750178,,,,,,,0.6081031634628697,,,,,,
2004-06-01,2.6818435192108154,2.8621087771890528,2.583804066851132,2.8115077768164194,524282676,2.808977794647217,,,,,,,-0.016445159912109375,,,,,,,-0.5820424119359568,,,,,,
2004-07-01,2.86562442779541,2.9806326559873684,2.69630630151073,2.6995012030170997,537766013,2.81347599029541,,,,,,,0.004498195648193093,,,,,,,0.16013639042518069,,,,,,
2004-08-01,2.817704200744629,2.987021862097024,2.7729783237626977,2.8592347193677745,380868769,2.8077576637268065,2.7394240617752077,,,,,,-0.0057183265686036044,,,,,,,-0.20324774721121042,,,,,,
2004-09-01,2.788952589035034,2.9646593955697385,2.61324509699714,2.8145097474482643,805191076,2.796921491622925,2.8026334047317505,,,,,,-0.010836172103881658,0.06320934295654279,,,,,,-0.38593687211233574,2.307395333148299,,,,,
