Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope,5_Month_MA_Percent_Change,10_Month_MA_Percent_Change,20_Month_MA_Percent_Change,30_Month_MA_Percent_Change,60_Month_MA_Percent_Change,120_Month_MA_Percent_Change,233_Month_MA_Percent_Change
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-01,2568.300048828125,2568.300048828125,2568.300048828125,2568.300048828125,0,,,,,,,,,,,,,,,,,,,,,
1987-01-01,2553.300048828125,2614.89990234375,2449.89990234375,2540.10009765625,0,,,,,,,,,,,,,,,,,,,,,
1987-02-01,2877.89990234375,2879.0,2585.199951171875,2585.199951171875,0,,,,,,,,,,,,,,,,,,,,,
1987-03-01,2713.800048828125,2939.10009765625,2629.300048828125,2894.300048828125,0,,,,,,,,,,,,,,,,,,,,,
1987-04-01,2659.89990234375,2785.5,2589.5,2695.89990234375,0,2674.639990234375,,,,,,,,,,,,,,,,,,,,
1987-05-01,2950.800048828125,2950.800048828125,2685.39990234375,2685.39990234375,0,2751.139990234375,,,,,,,76.5,,,,,,,2.8601980183993403,,,,,,
1987-06-01,3178.199951171875,3179.0,2934.10009765625,2934.10009765625,0,2876.119970703125,,,,,,,124.97998046875,,,,,,,4.5428433635651855,,,,,,
1987-07-01,3479.199951171875,3479.199951171875,3164.0,3164.0,0,2996.37998046875,,,,,,,120.260009765625,,,,,,,4.181328004068785,,,,,,
1987-08-01,3611.699951171875,3611.699951171875,3391.300048828125,3514.300048828125,0,3175.9599609375,,,,,,,179.5799804687499,,,,,,,5.993231220315942,,,,,,
1987-09-01,3943.60009765625,3943.60009765625,3571.39990234375,3644.300048828125,0,3432.7,3053.6699951171877,,,,,,256.7400390624998,,,,,,,8.083856289759828,,,,,,
1987-10-01,2204.5,3949.699951171875,2202.800048828125,3949.699951171875,0,3283.439990234375,3017.289990234375,,,,,,-149.260009765625,-36.3800048828125,,,,,,-4.348181016856268,-1.191353516947935,,,,,
1987-11-01,2138.39990234375,2317.5,1960.9000244140625,2224.800048828125,0,3075.47998046875,2975.7999755859373,,,,,,-207.96000976562482,-41.490014648437864,,,,,,-6.333601661188892,-1.3750754744397353,,,,,
1987-12-01,2302.800048828125,2379.10009765625,1894.9000244140625,2086.699951171875,0,2840.2,2918.289990234375,,,,,,-235.27998046875018,-57.509985351562136,,,,,,-7.650187351663074,-1.9325890793529643,,,,,
1988-01-01,2409.699951171875,2512.199951171875,2238.10009765625,2238.10009765625,0,2599.8,2887.87998046875,,,,,,-240.39999999999964,-30.41000976562509,,,,,,-8.464192662488546,-1.0420489350745687,,,,,
1988-02-01,2418.10009765625,2418.10009765625,2223.0,2374.0,0,2294.7,2863.7,,,,,,-305.10000000000036,-24.179980468750273,,,,,,-11.735518116778232,-0.8372917376166522,,,,,
1988-03-01,2544.0,2618.39990234375,2437.699951171875,2446.39990234375,0,2362.6,2823.0199951171876,,,,,,67.90000000000009,-40.68000488281223,,,,,,2.9589924608881324,-1.420540031526074,,,,,
1988-04-01,2602.89990234375,2684.10009765625,2552.0,2556.60009765625,0,2455.5,2765.489990234375,,,,,,92.90000000000009,-57.53000488281259,,,,,,3.9321086938119088,-2.0378886788729456,,,,,
1988-05-01,2496.699951171875,2641.10009765625,2488.89990234375,2589.89990234375,0,2494.27998046875,2667.239990234375,,,,,,38.77998046875018,-98.25,,,,,,1.5793109537263428,-3.5527158061300135,,,,,
1988-06-01,2671.5,2719.0,2516.199951171875,2516.199951171875,0,2546.639990234375,2573.2199951171874,,,,,,52.36000976562491,-94.01999511718759,,,,,,2.0992033843684643,-3.524991956532786,,,,,
1988-07-01,2678.89990234375,2772.5,2647.39990234375,2684.60009765625,0,2598.799951171875,2446.7499755859376,2750.2099853515624,,,,,52.15996093749982,-126.47001953124982,,,,,,2.0481874602424455,-4.914854531335566,,,,,
1988-08-01,2443.800048828125,2703.39990234375,2439.60009765625,2703.39990234375,0,2578.7599609375,2470.67998046875,2743.9849853515625,,,,,-20.039990234374727,23.930004882812227,-6.224999999999909,,,,,-0.7711247733915849,0.9780322926980611,-0.22634635293872218,,,,
1988-09-01,2441.0,2525.10009765625,2423.199951171875,2433.300048828125,0,2546.37998046875,2500.939990234375,2738.369982910156,,,,,-32.37998046875009,30.260009765625,-5.615002441406432,,,,,-1.2556415082921712,1.2247644375166677,-0.20462948854973462,,,,
1988-10-01,2627.39990234375,2627.39990234375,2415.800048828125,2429.10009765625,0,2572.519970703125,2533.3999755859377,2725.8449829101564,,,,,26.13999023437509,32.459985351562864,-12.524999999999636,,,,,1.0265549695989584,1.2979114044444184,-0.4573888874829457,,,,
1988-11-01,2659.300048828125,2666.0,2538.0,2615.39990234375,0,2570.07998046875,2558.3599853515625,2723.119982910156,,,,,-2.439990234375273,24.960009765624818,-2.725000000000364,,,,,-0.0948482523814298,0.9852376255688577,-0.09996900106516993,,,,
